Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nF","C_0805_2012Metric",80.000000,-133.000000,-90.000000,top
"C3","1uF","C_0805_2012Metric",92.275000,-85.460000,90.000000,top
"C5","100nF","C_0805_2012Metric",109.775000,-84.760000,90.000000,top
"C6","100nF","C_0805_2012Metric",136.250000,-86.000000,0.000000,top
"D2","SMBJ60A","D_SMB",96.500000,-39.000000,180.000000,top
"D3","SS14","D_SMA",135.000000,-71.600000,-90.000000,top
"R1","10k","R_0805_2012Metric",95.912500,-144.000000,0.000000,top
"R2","10k","R_0805_2012Metric",90.587500,-144.000000,0.000000,top
"R3","10k","R_0805_2012Metric",84.912500,-149.000000,0.000000,top
"R4","10k","R_0805_2012Metric",84.912500,-144.000000,180.000000,top
"R5","10k","R_0805_2012Metric",90.500000,-149.000000,0.000000,top
"R6","10","R_0805_2012Metric",99.200000,-74.800000,90.000000,top
"U4","SN74LVC2G08","VSSOP-8_3.0x3.0mm_P0.65mm",89.975000,-109.095000,0.000000,top
"U_DRV1","UCC27282D","SOIC-8_3.9x4.9mm_P1.27mm",101.000000,-83.000000,0.000000,top
"U_WDT1","MAX6369","SOT-23-8",90.000000,-133.000000,0.000000,top
